"Notes"	"Year"	"Year Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	982	94835637	1.0
	"1999"	"1999"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3339	94835637	3.5
	"1999"	"1999"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	84	94835637	0.1
"Total"	"1999"	"1999"			43500	94835637	45.9
	"2000"	"2000"	"Cut/Pierce"	"GRINJ-001"	482	95631618	0.5
	"2000"	"2000"	"Drowning"	"GRINJ-002"	1604	95631618	1.7
	"2000"	"2000"	"Fall"	"GRINJ-003"	430	95631618	0.4
	"2000"	"2000"	"Fire/Flame"	"GRINJ-004"	842	95631618	0.9
	"2000"	"2000"	"Hot object/Substance"	"GRINJ-005"	12	95631618	Unreliable
	"2000"	"2000"	"Firearm"	"GRINJ-006"	6998	95631618	7.3
	"2000"	"2000"	"Machinery"	"GRINJ-007"	80	95631618	0.1
	"2000"	"2000"	"Motor Vehicle Traffic"	"GRINJ-008"	12533	95631618	13.1
	"2000"	"2000"	"Other Pedal cyclist"	"GRINJ-009"	58	95631618	0.1
	"2000"	"2000"	"Other Pedestrian"	"GRINJ-010"	341	95631618	0.4
	"2000"	"2000"	"Other land transport"	"GRINJ-011"	489	95631618	0.5
	"2000"	"2000"	"Other transport"	"GRINJ-012"	239	95631618	0.2
	"2000"	"2000"	"Natural/Environmental"	"GRINJ-013"	132	95631618	0.1
	"2000"	"2000"	"Overexertion"	"GRINJ-014"	2	95631618	Unreliable
	"2000"	"2000"	"Poisoning"	"GRINJ-015"	1783	95631618	1.9
	"2000"	"2000"	"Struck by or against"	"GRINJ-016"	227	95631618	0.2
	"2000"	"2000"	"Suffocation"	"GRINJ-017"	1935	95631618	2.0
	"2000"	"2000"	"Other specified, classifiable Injury"	"GRINJ-018"	362	95631618	0.4
	"2000"	"2000"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	306	95631618	0.3
	"2000"	"2000"	"Unspecified Injury"	"GRINJ-020"	575	95631618	0.6
	"2000"	"2000"	"Non-Injury: Intestinal infections"	"GR113 001-003"	14	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Tuberculosis"	"GR113 005-006"	18	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Meningococcal infection"	"GR113-009"	93	95631618	0.1
	"2000"	"2000"	"Non-Injury: Septicemia"	"GR113-010"	262	95631618	0.3
	"2000"	"2000"	"Non-Injury: Viral hepatitis"	"GR113-015"	21	95631618	0.0
	"2000"	"2000"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	239	95631618	0.2
	"2000"	"2000"	"Non-Injury: Malaria"	"GR113-017"	1	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	234	95631618	0.2
	"2000"	"2000"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3147	95631618	3.3
	"2000"	"2000"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	247	95631618	0.3
	"2000"	"2000"	"Non-Injury: Anemias"	"GR113-045"	172	95631618	0.2
	"2000"	"2000"	"Non-Injury: Diabetes mellitus"	"GR113-046"	194	95631618	0.2
	"2000"	"2000"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	17	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Meningitis"	"GR113-050"	81	95631618	0.1
	"2000"	"2000"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1483	95631618	1.6
	"2000"	"2000"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	22	95631618	0.0
	"2000"	"2000"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	322	95631618	0.3
	"2000"	"2000"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	75	95631618	0.1
	"2000"	"2000"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	53	95631618	0.1
	"2000"	"2000"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	379	95631618	0.4
	"2000"	"2000"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	23	95631618	0.0
	"2000"	"2000"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	380	95631618	0.4
	"2000"	"2000"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	61	95631618	0.1
	"2000"	"2000"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	292	95631618	0.3
	"2000"	"2000"	"Non-Injury: Peptic ulcer"	"GR113-090"	9	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Diseases of appendix"	"GR113-091"	31	95631618	0.0
	"2000"	"2000"	"Non-Injury: Hernia"	"GR113-092"	12	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	42	95631618	0.0
	"2000"	"2000"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	11	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	127	95631618	0.1
	"2000"	"2000"	"Non-Injury: Infections of kidney"	"GR113-102"	5	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	3	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	6	95631618	Unreliable
	"2000"	"2000"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	89	95631618	0.1
	"2000"	"2000"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	135	95631618	0.1
	"2000"	"2000"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1335	95631618	1.4
	"2000"	"2000"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1293	95631618	1.4
	"2000"	"2000"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3252	95631618	3.4
	"2000"	"2000"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	85	95631618	0.1
"Total"	"2000"	"2000"			43699	95631618	45.7
	"2001"	"2001"	"Cut/Pierce"	"GRINJ-001"	552	96651169	0.6
	"2001"	"2001"	"Drowning"	"GRINJ-002"	1500	96651169	1.6
	"2001"	"2001"	"Fall"	"GRINJ-003"	457	96651169	0.5
	"2001"	"2001"	"Fire/Flame"	"GRINJ-004"	757	96651169	0.8
	"2001"	"2001"	"Hot object/Substance"	"GRINJ-005"	14	96651169	Unreliable
	"2001"	"2001"	"Firearm"	"GRINJ-006"	7090	96651169	7.3
	"2001"	"2001"	"Machinery"	"GRINJ-007"	74	96651169	0.1
	"2001"	"2001"	"Motor Vehicle Traffic"	"GRINJ-008"	12615	96651169	13.1
	"2001"	"2001"	"Other Pedal cyclist"	"GRINJ-009"	50	96651169	0.1
	"2001"	"2001"	"Other Pedestrian"	"GRINJ-010"	284	96651169	0.3
	"2001"	"2001"	"Other land transport"	"GRINJ-011"	448	96651169	0.5
	"2001"	"2001"	"Other transport"	"GRINJ-012"	363	96651169	0.4
	"2001"	"2001"	"Natural/Environmental"	"GRINJ-013"	127	96651169	0.1
	"2001"	"2001"	"Overexertion"	"GRINJ-014"	1	96651169	Unreliable
	"2001"	"2001"	"Poisoning"	"GRINJ-015"	2062	96651169	2.1
	"2001"	"2001"	"Struck by or against"	"GRINJ-016"	202	96651169	0.2
	"2001"	"2001"	"Suffocation"	"GRINJ-017"	1990	96651169	2.1
	"2001"	"2001"	"Other specified, classifiable Injury"	"GRINJ-018"	374	96651169	0.4
	"2001"	"2001"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	267	96651169	0.3
	"2001"	"2001"	"Unspecified Injury"	"GRINJ-020"	618	96651169	0.6
	"2001"	"2001"	"Non-Injury: Intestinal infections"	"GR113 001-003"	24	96651169	0.0
	"2001"	"2001"	"Non-Injury: Tuberculosis"	"GR113 005-006"	13	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Whooping cough"	"GR113-007"	1	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Scarlet fever and erysipelas"	"GR113-008"	1	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Meningococcal infection"	"GR113-009"	100	96651169	0.1
	"2001"	"2001"	"Non-Injury: Septicemia"	"GR113-010"	310	96651169	0.3
	"2001"	"2001"	"Non-Injury: Syphilis"	"GR113-011"	1	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Viral hepatitis"	"GR113-015"	23	96651169	0.0
	"2001"	"2001"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	276	96651169	0.3
	"2001"	"2001"	"Non-Injury: Malaria"	"GR113-017"	1	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	214	96651169	0.2
	"2001"	"2001"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3132	96651169	3.2
	"2001"	"2001"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	265	96651169	0.3
	"2001"	"2001"	"Non-Injury: Anemias"	"GR113-045"	186	96651169	0.2
	"2001"	"2001"	"Non-Injury: Diabetes mellitus"	"GR113-046"	196	96651169	0.2
	"2001"	"2001"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	16	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Meningitis"	"GR113-050"	90	96651169	0.1
	"2001"	"2001"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1496	96651169	1.5
	"2001"	"2001"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	25	96651169	0.0
	"2001"	"2001"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	330	96651169	0.3
	"2001"	"2001"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	76	96651169	0.1
	"2001"	"2001"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	43	96651169	0.0
	"2001"	"2001"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	385	96651169	0.4
	"2001"	"2001"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	22	96651169	0.0
	"2001"	"2001"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	318	96651169	0.3
	"2001"	"2001"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	63	96651169	0.1
	"2001"	"2001"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	312	96651169	0.3
	"2001"	"2001"	"Non-Injury: Peptic ulcer"	"GR113-090"	12	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Diseases of appendix"	"GR113-091"	29	96651169	0.0
	"2001"	"2001"	"Non-Injury: Hernia"	"GR113-092"	8	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	28	96651169	0.0
	"2001"	"2001"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	8	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	126	96651169	0.1
	"2001"	"2001"	"Non-Injury: Infections of kidney"	"GR113-102"	9	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	15	96651169	Unreliable
	"2001"	"2001"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	98	96651169	0.1
	"2001"	"2001"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	125	96651169	0.1
	"2001"	"2001"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1438	96651169	1.5
	"2001"	"2001"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1402	96651169	1.5
	"2001"	"2001"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3305	96651169	3.4
	"2001"	"2001"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	81	96651169	0.1
"Total"	"2001"	"2001"			44454	96651169	46.0
	"2002"	"2002"	"Cut/Pierce"	"GRINJ-001"	519	97465704	0.5
	"2002"	"2002"	"Drowning"	"GRINJ-002"	1520	97465704	1.6
	"2002"	"2002"	"Fall"	"GRINJ-003"	460	97465704	0.5
	"2002"	"2002"	"Fire/Flame"	"GRINJ-004"	761	97465704	0.8
	"2002"	"2002"	"Hot object/Substance"	"GRINJ-005"	11	97465704	Unreliable
	"2002"	"2002"	"Firearm"	"GRINJ-006"	7189	97465704	7.4
	"2002"	"2002"	"Machinery"	"GRINJ-007"	64	97465704	0.1
	"2002"	"2002"	"Motor Vehicle Traffic"	"GRINJ-008"	13262	97465704	13.6
	"2002"	"2002"	"Other Pedal cyclist"	"GRINJ-009"	42	97465704	0.0
	"2002"	"2002"	"Other Pedestrian"	"GRINJ-010"	290	97465704	0.3
	"2002"	"2002"	"Other land transport"	"GRINJ-011"	383	97465704	0.4
	"2002"	"2002"	"Other transport"	"GRINJ-012"	198	97465704	0.2
	"2002"	"2002"	"Natural/Environmental"	"GRINJ-013"	104	97465704	0.1
	"2002"	"2002"	"Poisoning"	"GRINJ-015"	2428	97465704	2.5
	"2002"	"2002"	"Struck by or against"	"GRINJ-016"	206	97465704	0.2
	"2002"	"2002"	"Suffocation"	"GRINJ-017"	2056	97465704	2.1
	"2002"	"2002"	"Other specified, classifiable Injury"	"GRINJ-018"	405	97465704	0.4
	"2002"	"2002"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	231	97465704	0.2
	"2002"	"2002"	"Unspecified Injury"	"GRINJ-020"	620	97465704	0.6
	"2002"	"2002"	"Non-Injury: Intestinal infections"	"GR113 001-003"	19	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Tuberculosis"	"GR113 005-006"	9	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Meningococcal infection"	"GR113-009"	65	97465704	0.1
	"2002"	"2002"	"Non-Injury: Septicemia"	"GR113-010"	292	97465704	0.3
	"2002"	"2002"	"Non-Injury: Syphilis"	"GR113-011"	1	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Viral hepatitis"	"GR113-015"	28	97465704	0.0
	"2002"	"2002"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	208	97465704	0.2
	"2002"	"2002"	"Non-Injury: Malaria"	"GR113-017"	1	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	242	97465704	0.2
	"2002"	"2002"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3204	97465704	3.3
	"2002"	"2002"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	236	97465704	0.2
	"2002"	"2002"	"Non-Injury: Anemias"	"GR113-045"	185	97465704	0.2
	"2002"	"2002"	"Non-Injury: Diabetes mellitus"	"GR113-046"	208	97465704	0.2
	"2002"	"2002"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	9	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Meningitis"	"GR113-050"	76	97465704	0.1
	"2002"	"2002"	"Non-Injury: Alzheimers disease"	"GR113-052"	1	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1442	97465704	1.5
	"2002"	"2002"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	23	97465704	0.0
	"2002"	"2002"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	315	97465704	0.3
	"2002"	"2002"	"Non-Injury: Atherosclerosis"	"GR113-071"	3	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	81	97465704	0.1
	"2002"	"2002"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	41	97465704	0.0
	"2002"	"2002"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	368	97465704	0.4
	"2002"	"2002"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	34	97465704	0.0
	"2002"	"2002"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	393	97465704	0.4
	"2002"	"2002"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	67	97465704	0.1
	"2002"	"2002"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	295	97465704	0.3
	"2002"	"2002"	"Non-Injury: Peptic ulcer"	"GR113-090"	2	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Diseases of appendix"	"GR113-091"	19	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Hernia"	"GR113-092"	15	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	40	97465704	0.0
	"2002"	"2002"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	9	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	119	97465704	0.1
	"2002"	"2002"	"Non-Injury: Infections of kidney"	"GR113-102"	8	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	2	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	5	97465704	Unreliable
	"2002"	"2002"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	85	97465704	0.1
	"2002"	"2002"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	117	97465704	0.1
	"2002"	"2002"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	1439	97465704	1.5
	"2002"	"2002"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	1127	97465704	1.2
	"2002"	"2002"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	3382	97465704	3.5
	"2002"	"2002"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	89	97465704	0.1
"Total"	"2002"	"2002"			45054	97465704	46.2
	"2003"	"2003"	"Cut/Pierce"	"GRINJ-001"	556	98041633	0.6
	"2003"	"2003"	"Drowning"	"GRINJ-002"	1377	98041633	1.4
	"2003"	"2003"	"Fall"	"GRINJ-003"	453	98041633	0.5
	"2003"	"2003"	"Fire/Flame"	"GRINJ-004"	735	98041633	0.7
	"2003"	"2003"	"Hot object/Substance"	"GRINJ-005"	8	98041633	Unreliable
	"2003"	"2003"	"Firearm"	"GRINJ-006"	7218	98041633	7.4
	"2003"	"2003"	"Machinery"	"GRINJ-007"	77	98041633	0.1
	"2003"	"2003"	"Motor Vehicle Traffic"	"GRINJ-008"	12746	98041633	13.0
	"2003"	"2003"	"Other Pedal cyclist"	"GRINJ-009"	37	98041633	0.0
	"2003"	"2003"	"Other Pedestrian"	"GRINJ-010"	288	98041633	0.3
	"2003"	"2003"	"Other land transport"	"GRINJ-011"	537	98041633	0.5
	"2003"	"2003"	"Other transport"	"GRINJ-012"	212	98041633	0.2
	"2003"	"2003"	"Natural/Environmental"	"GRINJ-013"	138	98041633	0.1
	"2003"	"2003"	"Overexertion"	"GRINJ-014"	2	98041633	Unreliable
	"2003"	"2003"	"Poisoning"	"GRINJ-015"	2860	98041633	2.9
	"2003"	"2003"	"Struck by or against"	"GRINJ-016"	174	98041633	0.2
	"2003"	"2003"	"Suffocation"	"GRINJ-017"	2066	98041633	2.1
	"2003"	"2003"	"Other specified, classifiable Injury"	"GRINJ-018"	353	98041633	0.4
	"2003"	"2003"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	199	98041633	0.2
	"2003"	"2003"	"Unspecified Injury"	"GRINJ-020"	622	98041633	0.6
	"2003"	"2003"	"Non-Injury: Intestinal infections"	"GR113 001-003"	16	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Tuberculosis"	"GR113 005-006"	13	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Whooping cough"	"GR113-007"	1	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Meningococcal infection"	"GR113-009"	68	98041633	0.1
	"2003"	"2003"	"Non-Injury: Septicemia"	"GR113-010"	316	98041633	0.3
	"2003"	"2003"	"Non-Injury: Arthropod-borne viral encephalitis"	"GR113-013"	1	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Measles"	"GR113-014"	1	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Viral hepatitis"	"GR113-015"	14	98041633	Unreliable
	"2003"	"2003"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	216	98041633	0.2
	"2003"	"2003"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	224	98041633	0.2
	"2003"	"2003"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	3119	98041633	3.2
