"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	1	15339782	Unreliable
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	92	15339782	0.6
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	549	15339782	3.6
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	236	15339782	1.5
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	647	15339782	4.2
	"1999"	"1999"	"1-4 years"	"1-4"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	30	15339782	0.2
"Total"	"1999"	"1999"	"1-4 years"	"1-4"			5249	15339782	34.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Cut/Pierce"	"GRINJ-001"	34	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Drowning"	"GRINJ-002"	380	40819824	0.9
	"1999"	"1999"	"5-14 years"	"5-14"	"Fall"	"GRINJ-003"	56	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Fire/Flame"	"GRINJ-004"	294	40819824	0.7
	"1999"	"1999"	"5-14 years"	"5-14"	"Hot object/Substance"	"GRINJ-005"	1	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Firearm"	"GRINJ-006"	416	40819824	1.0
	"1999"	"1999"	"5-14 years"	"5-14"	"Machinery"	"GRINJ-007"	11	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Motor Vehicle Traffic"	"GRINJ-008"	1655	40819824	4.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Other Pedal cyclist"	"GRINJ-009"	26	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Other Pedestrian"	"GRINJ-010"	95	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Other land transport"	"GRINJ-011"	133	40819824	0.3
	"1999"	"1999"	"5-14 years"	"5-14"	"Other transport"	"GRINJ-012"	69	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Natural/Environmental"	"GRINJ-013"	39	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Poisoning"	"GRINJ-015"	57	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Struck by or against"	"GRINJ-016"	51	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Suffocation"	"GRINJ-017"	314	40819824	0.8
	"1999"	"1999"	"5-14 years"	"5-14"	"Other specified, classifiable Injury"	"GRINJ-018"	53	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	65	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Unspecified Injury"	"GRINJ-020"	68	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Intestinal infections"	"GR113 001-003"	4	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Tuberculosis"	"GR113 005-006"	3	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Meningococcal infection"	"GR113-009"	25	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Septicemia"	"GR113-010"	77	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Viral hepatitis"	"GR113-015"	3	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	66	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	79	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	1012	40819824	2.5
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	101	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Anemias"	"GR113-045"	53	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Diabetes mellitus"	"GR113-046"	32	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	1	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Meningitis"	"GR113-050"	27	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	277	40819824	0.7
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	1	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	65	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	11	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	2	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	93	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	5	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	139	40819824	0.3
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	16	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	76	40819824	0.2
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Diseases of appendix"	"GR113-091"	26	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Hernia"	"GR113-092"	2	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	2	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	1	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	31	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Infections of kidney"	"GR113-102"	1	40819824	Unreliable
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	43	40819824	0.1
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	428	40819824	1.0
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	137	40819824	0.3
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	921	40819824	2.3
	"1999"	"1999"	"5-14 years"	"5-14"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	18	40819824	Unreliable
"Total"	"1999"	"1999"	"5-14 years"	"5-14"			7595	40819824	18.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Cut/Pierce"	"GRINJ-001"	435	38676031	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Drowning"	"GRINJ-002"	703	38676031	1.8
	"1999"	"1999"	"15-24 years"	"15-24"	"Fall"	"GRINJ-003"	364	38676031	0.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Fire/Flame"	"GRINJ-004"	244	38676031	0.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Hot object/Substance"	"GRINJ-005"	2	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Firearm"	"GRINJ-006"	6795	38676031	17.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Machinery"	"GRINJ-007"	53	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Motor Vehicle Traffic"	"GRINJ-008"	9893	38676031	25.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Other Pedal cyclist"	"GRINJ-009"	21	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Other Pedestrian"	"GRINJ-010"	190	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Other land transport"	"GRINJ-011"	436	38676031	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Other transport"	"GRINJ-012"	155	38676031	0.4
	"1999"	"1999"	"15-24 years"	"15-24"	"Natural/Environmental"	"GRINJ-013"	70	38676031	0.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Overexertion"	"GRINJ-014"	2	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Poisoning"	"GRINJ-015"	1505	38676031	3.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Struck by or against"	"GRINJ-016"	150	38676031	0.4
	"1999"	"1999"	"15-24 years"	"15-24"	"Suffocation"	"GRINJ-017"	1235	38676031	3.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Other specified, classifiable Injury"	"GRINJ-018"	241	38676031	0.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	191	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Unspecified Injury"	"GRINJ-020"	367	38676031	0.9
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Intestinal infections"	"GR113 001-003"	7	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Tuberculosis"	"GR113 005-006"	11	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Meningococcal infection"	"GR113-009"	39	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Septicemia"	"GR113-010"	121	38676031	0.3
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Viral hepatitis"	"GR113-015"	14	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	198	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	90	38676031	0.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	1724	38676031	4.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	98	38676031	0.3
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Anemias"	"GR113-045"	121	38676031	0.3
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Diabetes mellitus"	"GR113-046"	155	38676031	0.4
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	8	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Meningitis"	"GR113-050"	41	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Parkinsons disease"	"GR113-051"	2	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Alzheimers disease"	"GR113-052"	1	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	1069	38676031	2.8
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	13	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	182	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Atherosclerosis"	"GR113-071"	2	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	49	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	30	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	179	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	5	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	209	38676031	0.5
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Pneumoconioses and chemical effects"	"GR113-087"	1	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	32	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	115	38676031	0.3
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Peptic ulcer"	"GR113-090"	2	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Diseases of appendix"	"GR113-091"	5	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Hernia"	"GR113-092"	3	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	26	38676031	0.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Cholelithiasis and other disorders of gallbladder"	"GR113-096"	10	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Nephritis, nephrotic syndrome and nephrosis"	"GR113 097"	72	38676031	0.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Infections of kidney"	"GR113-102"	4	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Inflammatory diseases of female pelvic organs"	"GR113-104"	3	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Pregnancy with abortive outcome"	"GR113-106"	8	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Other complications of pregnancy, childbirth and the puerperium"	"GR113-107"	89	38676031	0.2
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Certain conditions originating in the perinatal period"	"GR113-108"	16	38676031	Unreliable
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities"	"GR113-109"	434	38676031	1.1
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"GR113-110"	609	38676031	1.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: All other diseases (Residual)"	"GR113-111"	1771	38676031	4.6
	"1999"	"1999"	"15-24 years"	"15-24"	"Non-Injury: Complications of medical and surgical care"	"GR113-135"	36	38676031	0.1
"Total"	"1999"	"1999"	"15-24 years"	"15-24"			30656	38676031	79.3
"Total"	"1999"	"1999"					43500	94835637	45.9
	"2000"	"2000"	"1-4 years"	"1-4"	"Cut/Pierce"	"GRINJ-001"	15	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Drowning"	"GRINJ-002"	504	15370150	3.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Fall"	"GRINJ-003"	38	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Fire/Flame"	"GRINJ-004"	313	15370150	2.0
	"2000"	"2000"	"1-4 years"	"1-4"	"Hot object/Substance"	"GRINJ-005"	10	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Firearm"	"GRINJ-006"	46	15370150	0.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Machinery"	"GRINJ-007"	6	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Motor Vehicle Traffic"	"GRINJ-008"	563	15370150	3.7
	"2000"	"2000"	"1-4 years"	"1-4"	"Other Pedal cyclist"	"GRINJ-009"	1	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Other Pedestrian"	"GRINJ-010"	97	15370150	0.6
	"2000"	"2000"	"1-4 years"	"1-4"	"Other land transport"	"GRINJ-011"	27	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Other transport"	"GRINJ-012"	8	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Natural/Environmental"	"GRINJ-013"	33	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Poisoning"	"GRINJ-015"	38	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Struck by or against"	"GRINJ-016"	39	15370150	0.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Suffocation"	"GRINJ-017"	181	15370150	1.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Other specified, classifiable Injury"	"GRINJ-018"	84	15370150	0.5
	"2000"	"2000"	"1-4 years"	"1-4"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	59	15370150	0.4
	"2000"	"2000"	"1-4 years"	"1-4"	"Unspecified Injury"	"GRINJ-020"	159	15370150	1.0
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Intestinal infections"	"GR113 001-003"	12	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Tuberculosis"	"GR113 005-006"	6	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Meningococcal infection"	"GR113-009"	19	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Septicemia"	"GR113-010"	99	15370150	0.6
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Viral hepatitis"	"GR113-015"	1	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Human immunodeficiency virus (HIV) disease"	"GR113-016"	14	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae"	"GR113-018"	71	15370150	0.5
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Malignant neoplasms (Cancers)"	"GR113 020-043"	420	15370150	2.7
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior"	"GR113-044"	53	15370150	0.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Anemias"	"GR113-045"	35	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Diabetes mellitus"	"GR113-046"	6	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Nutritional Deficiencies"	"GR113 048-049"	2	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Meningitis"	"GR113-050"	36	15370150	0.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Parkinsons disease"	"GR113-051"	1	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Diseases of Heart"	"GR113 055-068"	181	15370150	1.2
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Essential (primary) hypertension and hypertensive renal disease"	"GR113-069"	1	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Cerebrovascular diseases, including stroke"	"GR113-070"	47	15370150	0.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of the circulatory system"	"GR113 073-074"	5	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Other disorders of circulatory system"	"GR113-075"	4	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Influenza & Pneumonia"	"GR113 077-078"	103	15370150	0.7
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Other acute lower respiratory infections"	"GR113 079"	11	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Chronic lower respiratory diseases"	"GR113 082"	51	15370150	0.3
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Pneumonitis due to solids and liquids"	"GR113-088"	11	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Other diseases of respiratory system"	"GR113-089"	87	15370150	0.6
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Diseases of appendix"	"GR113-091"	5	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Hernia"	"GR113-092"	4	15370150	Unreliable
	"2000"	"2000"	"1-4 years"	"1-4"	"Non-Injury: Chronic liver disease and cirrhosis"	"GR113 093"	3	15370150	Unreliable
